Transcription-Units	Regulation - regulator proteins of transcription unit	Sequence - coordinates of DNA region	Genes of transcription unit	Direction
TU681	CPLX0-7759 // CPLX0-7639 // CPLX0-7797 // CPLX0-7756	[hmp 2,685,797 &rarr; 2,687,025]	EG10456	+
TU0-14759	G7072-MONOMER	[tsaE-amiB-mutL-miaA-hfq-hflXKC 4,395,555 &rarr; 4,404,304]	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281 // EG11363 // EG11757	+
TU0-12900	CPLX0-7756	[mhpT 375,386 &rarr; 376,670]	G6206	+
TU0-42690	EG11849-MONOMER	[yihUTS 4,070,515 &larr; 4,073,663]	EG11845 // EG11846 // EG11847	-
TU0-7421	PC00061	[glk 2,508,424 &larr; 2,509,461]	EG12957	-
TU0-13308	CPLX0-2781 // CPLX0-7748 // PD00353	[dgcZ 1,622,960 &larr; 1,623,879]	EG11643	-
TU0-8727		[yejK 2,282,940 &larr; 2,283,947]	EG12048	-
TU0-13782		[ygfM-xdhD 3,020,540 &rarr; 3,024,186]	G7500 // G7499	+
TU00235	PD00288 // EG11966-MONOMER // PC00027 // PHOSPHO-TORR	[adiA 4,338,210 &larr; 4,340,556]	EG11501	-
TU0-14189		[insB7 4,518,721 &rarr; 4,519,224]	G0-10569	+
TU583		[rnb 1,346,942 &larr; 1,348,944]	EG11620	-
TU0-14718	G6789-MONOMER // PHOSPHO-HYDG // PD00353 // EG12386-MONOMER	[gadW 3,663,541 &larr; 3,664,651]	EG12242	-
TU0-1198	PC00027	[uspB 3,639,385 &larr; 3,639,848]	EG12231	-
TU0-12882		[eaeH-insE1EF1F1 314,357 &rarr; 316,453]	G6169 // G6168 // G0-10525 // EG12161	+
TU0-42642	PD00353	[rpoE-rseABC 2,707,322 &larr; 2,710,165]	G7347 // G7348 // EG12341 // EG11897	-
TU0-7163	CPLX0-228	[waaA 3,808,516 &rarr; 3,809,817]	EG10520	+
TU0-13291		[ydeM 1,579,633 &larr; 1,580,790]	G6787	-
TU0-8710	G7072-MONOMER	[ydiP 1,778,390 &larr; 1,779,328]	G6919	-
TU0-13765		[pbl 2,993,939 &rarr; 2,994,441]	G7474	+
TU00219	CPLX-124 // CPLX0-226	[rhaBAD 4,093,448 &larr; 4,097,472]	EG11866 // EG11867 // EG11868	-
TU0-14170	G7072-MONOMER	[yjgH 4,472,814 &larr; 4,473,209]	G7879	-
TU522	CPLX0-1242 // CPLX0-841 // CPLX0-7705	[mazEFG 2,909,894 &larr; 2,911,368]	EG10572 // EG11249 // EG10571	-
TU0-14689	CPLX0-7705 // EG11554-MONOMER // PD00353 // PD00288	[ssrS-ygfA 3,055,759 &rarr; 3,056,789]	EG11158 // EG30099	+
TU0-1161	EG12386-MONOMER	[ldcC 209,649 &rarr; 211,820]	G6094	+
TU0-12866	CPLX0-8257	[yagAB-insX 280,114 &larr; 281,983]	EG12338 // EG12339 // G0-10433	-
TU0-42602	PD01520	[accA 208,326 &rarr; 209,580]	EG11647	+
TU0-6942	G7072-MONOMER	[lepAB 2,704,335 &larr; 2,707,196]	EG10529 // EG10530	-
TU0-13273	G7573-MONOMER	[mcbR 1,520,262 &rarr; 1,520,927]	G6761	+
TU0-8693	G6664-MONOMER	[ycjG 1,388,874 &rarr; 1,389,895]	G6661	+
TU0-13747		[mutH 2,969,662 &rarr; 2,970,351]	EG10624	+
TU00202	PHOSPHO-PHOB // PC00027 // CPLX0-7797 // G7072-MONOMER	[pstSCAB-phoU 3,906,853 &larr; 3,911,568]	EG10735 // EG10783 // EG10782 // EG10784 // EG10734	-
TU0-14154		[yjfKLMC 4,411,272 &rarr; 4,414,191]	EG11812 // G7850 // G7849 // G7848	+
TU461	CPLX0-226 // PD00353 // G7072-MONOMER	[dadAX 1,237,457 &rarr; 1,239,949]	EG11408 // EG11407	+
TU0-14670		[alr 4,265,652 &rarr; 4,266,861]	EG10001	+
TU0-1002	PD04418 // PD00353	[astCADBE 1,825,955 &larr; 1,832,013]	G6940 // G6941 // G6942 // G6943 // G6944	-
TU0-12848	G7072-MONOMER	[ldtF 245,065 &larr; 245,805]	G6108	-
TU0-42578	PD03028 // CPLX0-2021 // PD00288 // PD00261 // CPLX0-226	[galE 790,312 &larr; 792,081]	EG10362	-
TU0-6685		[rnhA 235,535 &larr; 236,041]	EG10860	-
TU0-13256	CPLX0-226	[mokB 1,491,962 &larr; 1,492,129]	G6736	-
TU0-8677		[matP 1,018,459 &rarr; 1,018,937]	EG12855	+
TU0-13730	G7072-MONOMER	[ygcS 2,896,533 &larr; 2,897,870]	G7437	-
TU00186	PD00360 // G7072-MONOMER	[lysR 2,978,950 &rarr; 2,979,956]	EG10551	+
TU0-14134	PHOSPHO-PHOB // CPLX0-7852 // PHOSPHO-TORR // PD00288	[adiC 4,335,694 &larr; 4,337,202]	EG12462	-
TU361		[cmk-rpsA 961,165 &rarr; 963,716]	EG10900 // EG11265	+
TU0-14647		[yfgM 2,638,663 &larr; 2,639,402]	G7321	-
TU-8421		[plsB 4,254,043 &larr; 4,256,598]	EG10740	-
TU0-12831		[dxr-uppS-cdsA 193,521 &rarr; 196,534]	EG10139 // G6092 // EG12715	+
TU0-42551	G7072-MONOMER	[feaB 1,447,370 &rarr; 1,449,063]	G7961	+
TU0-6634	CPLX0-7756 // CPLX0-7797 // PHOSPHO-ARCA	[aceEF 122,969 &rarr; 127,619]	EG10025 // EG10024	+
TU0-13238	EG12386-MONOMER	[ynaE 1,433,991 &larr; 1,434,224]	G6698	-
TU0-8658	G7594-MONOMER // CPLX0-7797	[nfeR 3,216,753 &rarr; 3,217,402]	G7594	+
TU0-13713	G7072-MONOMER	[ygaZH 2,809,617 &rarr; 2,810,679]	G7406 // G7405	+
TU00170	CPLX0-226 // CPLX-123 // PD00339 // CPLX0-7797 // PD00353 // G7072-MONOMER	[gcvTHP 3,046,126 &larr; 3,050,772]	EG11810 // EG10371 // EG11442	-
TU0-14118		[dusA 4,261,669 &rarr; 4,262,706]	EG11932	+
TU302	CPLX0-2781 // G7071-MONOMER // G7072-MONOMER	[tauABCD 385,003 &rarr; 388,646]	EG12423 // G6219 // G6218 // G6217	+
TU0-14629		[tyrS-pdxY 1,715,026 &larr; 1,717,283]	G6879 // EG11043	-
TU-8392		[dsbC-recJ-prfB 3,035,184 &larr; 3,039,633]	EG10762 // EG10830 // EG11070	-
TU0-12812	CPLX0-226 // G7072-MONOMER	[nadC 117,752 &larr; 118,663]	EG11546	-
TU0-42526	MONOMER0-155 // PD00353	[leuE 1,880,121 &larr; 1,880,800]	G6984	-
TU0-6559	PC00010	[uvrC 1,992,874 &larr; 1,994,879]	EG11063	-
TU0-13221	EG12243-MONOMER // PD00353	[uspE 1,397,672 &larr; 1,398,659]	EG11246	-
TU0-8641	G7072-MONOMER	[ynjF 1,840,783 &larr; 1,841,432]	G6953	-
TU0-13695		[yfjR-ypjK-yfjS-yfjT 2,769,703 &rarr; 2,771,615]	G7372 // G7371 // G7370 // G7369	+
TU00154	CPLX0-7756 // PC00027 // MONOMER0-183	[hypABCDE 2,849,875 &rarr; 2,854,321]	EG10483 // EG10484 // EG10485 // EG10486 // EG10487	+
TU0-14097		[fabR-yijD 4,161,067 &rarr; 4,162,130]	EG11395 // EG11394	+
TU164	CPLX0-7689 // PHOSPHO-ARCA // EG11962-MONOMER // EG11088-MONOMER	[lldPRD 3,777,271 &rarr; 3,781,017]	EG11963 // EG11962 // EG11961	+
TU0-14609		[uppS-cdsA 194,901 &rarr; 196,534]	EG10139 // G6092	+
TU0-12795		[sokC 16,952 &rarr; 17,010]	G0-9581	+
TU0-42503	PHOSPHO-HYDG	[ssrA 2,755,586 &rarr; 2,755,955]	EG30100	+
TU0-6507	CPLX0-7639 // CPLX0-7705 // PD00353	[katE 1,813,814 &rarr; 1,816,282]	EG10509	+
TU0-13204		[fabI 1,350,251 &larr; 1,351,118]	EG11528	-
TU0-8623		[yjhR 4,535,015 &rarr; 4,536,031]	G7918	+
TU0-13677	CPLX0-226 // PHOSPHO-HYDG	[raiAZ 2,737,104 &rarr; 2,737,552]	G0-17078 // EG11151	+
TU00137	CPLX0-226 // MONOMER0-158 // PHOSPHO-PHOP	[malS 3,737,238 &rarr; 3,739,620]	EG11316	+
TU0-14074		[yiiG 4,087,002 &rarr; 4,088,057]	EG11860	+
TU00523	CPLX0-7639 // PHOSPHO-ARCA // CPLX0-226 // CPLX0-7797 // CPLX0-7705	[lpdA 127,688 &rarr; 129,394]	EG10543	+
TU0-14553		[glnW-metU-glnVX 696,392 &larr; 696,860]	EG30031 // EG30029 // EG30059 // EG30030	-
TU0-42478	PD00353 // G7072-MONOMER	[leuLABCD 78,848 &larr; 84,024]	EG11575 // EG11576 // EG11577 // EG11226 // EG11280	-
TU0-6428	PD00353	[pyrG-eno 2,906,643 &larr; 2,909,797]	EG10258 // EG10810	-
TU0-13181		[rttR 1,287,066 &larr; 1,287,236]	G0-9609	-
TU0-8606		[yihA 4,050,133 &larr; 4,050,765]	EG11203	-
TU0-13658		[suhB 2,663,442 &rarr; 2,664,245]	EG10983	+
TU00121	CPLX0-7639 // CPLX0-226	[fur 710,118 &larr; 710,716]	EG10359	-
TU0-14057	G7072-MONOMER // EG12386-MONOMER	[yihD 4,042,049 &rarr; 4,042,338]	EG11830	+
TU00507	CPLX0-7705 // PD00353	[metT-leuW-glnUW-metU-glnVX 696,392 &larr; 697,163]	EG30031 // EG30029 // EG30059 // EG30030 // EG30028 // EG30052 // EG30058	-
TU0-14531		[nuoMN 2,390,005 &larr; 2,393,071]	EG12093 // EG11773	-
TU0-42458		[csrA 2,818,961 &larr; 2,819,198]	EG11447	-
TU0-6241	PC00010	[tisB 3,853,309 &rarr; 3,853,689]	G0-9962	+
TU0-13164		[ymgF 1,218,983 &rarr; 1,219,201]	G0-10261	+
TU0-8589		[yiaF 3,718,334 &larr; 3,719,097]	EG12273	-
TU0-13640	CPLX0-226	[aegA 2,583,546 &larr; 2,585,525]	EG12409	-
TU00105	CPLX0-226 // CPLX0-7639 // CPLX0-7797 // PHOSPHO-ARCA // PD00406 // PD00365 // PD04132	[fumC 1,685,185 &larr; 1,686,709]	EG10358	-
TU0-13570		[pmrD 2,373,272 &larr; 2,373,538]	G7172	-
TU0-14041		[yzcX 3,993,850 &rarr; 3,994,335]	G7802	+
TU00491	CPLX0-7705 // G7072-MONOMER	[argU 564,638 &rarr; 564,799]	EG30014	+
TU0-14512		[argQ 2,817,784 &larr; 2,817,890]	EG30013	-
TU0-4202		[hemA 1,263,583 &rarr; 1,264,970]	EG10427	+
TU0-5782	PD00353	[mutY-yggX-mltC 3,102,911 &rarr; 3,105,512]	G7533 // G7532 // EG10627	+
TU0-13147		[ymfED 1,196,867 &larr; 1,198,237]	G6583 // G6582	-
TU0-8572	G7072-MONOMER	[ygjH 3,220,915 &larr; 3,221,247]	G7597	-
TU0-13623		[ucpA 2,543,832 &larr; 2,544,664]	EG12133	-
TU00088	PD00413 // MONOMER0-162 // PC00027 // CPLX0-2021 // MONOMER0-163 // PD00353	[tyrP 1,989,580 &rarr; 1,990,892]	EG11041	+
TU0-13554		[bcr 2,278,570 &larr; 2,279,760]	EG11419	-
TU0-14023		[yidZ 3,892,765 &rarr; 3,893,724]	EG11721	+
TU00475	CPLX-123 // CPLX0-228	[cvpA-purF-ubiX 2,428,030 &larr; 2,430,800]	EG11044 // EG10794 // EG10169	-
TU0-14490	PD00353	[clpPX 456,605 &rarr; 458,755]	EG10159 // EG10158	+
TU0-41760	G7072-MONOMER	[ydbK-ompN 1,435,760 &larr; 1,440,846]	G6700 // G6701	-
TU0-5523	RPON-MONOMER	[mutM 3,810,343 &larr; 3,811,175]	EG10329	-
TU0-13129	PD00353	[yceB 1,122,675 &larr; 1,123,273]	EG11117	-
TU0-8555		[yajQ 444,658 &rarr; 445,174]	G6240	+
TU0-13606		[ypdJ 2,476,094 &rarr; 2,476,234]	G0-10461	+
TU00072	PD00230	[ada-alkB 2,308,691 &larr; 2,310,427]	EG10037 // EG10029	-
TU0-13535	EG11733-MONOMER	[yohJK 2,230,509 &rarr; 2,231,714]	EG12024 // EG12023	+
TU0-14008		[setC 3,836,953 &rarr; 3,838,137]	EG11687	+
TU00457	PD00353 // G7072-MONOMER	[livKHMGF 3,592,724 &larr; 3,597,730]	EG10536 // EG10537 // EG10541 // EG10538 // EG10540	-
TU0-14467		[glnS 705,999 &rarr; 707,978]	EG10390	+
TU0-3882	CPLX0-7705 // CPLX0-226 // PD00353	[proP 4,330,284 &rarr; 4,332,004]	EG11612	+
TU0-5184		[flk 2,437,912 &rarr; 2,438,945]	EG10229	+
TU0-13113		[yccE 1,064,006 &rarr; 1,065,292]	EG12196	+
TU0-8539	PD04418	[yacH 129,407 &larr; 131,260]	EG12315	-
TU0-13589		[folX-yfcH 2,421,295 &rarr; 2,422,601]	G7196 // G7195	+
TU00056	PD03867 // CPLX-123 // PHOSPHO-PHOP	[purHD 4,204,642 &larr; 4,207,627]	EG10792 // EG10795	-
TU0-13517	G7072-MONOMER // EG12386-MONOMER	[yehE 2,192,515 &larr; 2,192,796]	EG11991	-
TU0-13993	PD00353	[yibL 3,776,665 &rarr; 3,777,027]	EG11964	+
TU00440	PHOSPHO-TORR	[nlpD-rpoS 2,866,559 &larr; 2,868,782]	EG10510 // EG12111	-
TU0-14439	CPLX0-228 // PD00353 // EG12386-MONOMER	[rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 90,010 &rarr; 107,474]	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086 // EG11085	+
TU0-36427	CPLX0-226	[mhpR-lacI 366,428 &larr; 368,536]	EG10525 // G6201	-
TU0-4981	PD03585 // CPLX0-226	[gntXY 3,544,625 &rarr; 3,546,199]	G7748 // G7747	+
TU0-13096		[zapC 1,005,952 &rarr; 1,006,494]	G6486	+
TU0-8521		[srmB 2,712,896 &rarr; 2,714,230]	EG10975	+
TU00040	PD00208 // CPLX0-226 // MONOMER0-161	[melR 4,340,720 &larr; 4,341,650]	EG11230	-
TU0-13500		[asmA 2,139,759 &larr; 2,141,612]	EG11361	-
TU0-13977		[yhjY 3,712,236 &larr; 3,712,934]	EG12269	-
TU00424	CPLX0-7797	[hypBCDE 2,850,689 &rarr; 2,854,321]	EG10484 // EG10485 // EG10486 // EG10487	+
TU0-1441		[fliLMNOPQR 2,019,595 &rarr; 2,023,678]	EG11977 // EG11976 // EG11975 // EG11224 // EG10324 // EG10323 // EG10322	+
TU0-36403		[rcsB 2,315,975 &rarr; 2,316,827]	EG10821	+
TU0-4802	EG11554-MONOMER // CPLX0-7916 // PD00519 // CPLX0-7705 // PD00288 // CPLX0-226 // G7072-MONOMER	[bglGFB 3,902,249 &larr; 3,906,697]	EG10114 // EG10115 // EG10116	-
TU0-13079	PHOSPHO-RCSB // PD00353	[lolA-rarA 937,328 &rarr; 939,337]	EG12690 // G6465	+
TU0-8503	PD04418 // EG10087-MONOMER // CPLX0-226 // PD00353	[ybiT 855,947 &rarr; 857,555]	G6423	+
TU00024	PD00261 // PD03028 // CPLX0-226	[galS 2,240,628 &larr; 2,241,710]	EG10365	-
TU0-13482		[yeeP 2,070,786 &rarr; 2,071,211]	G7079	+
TU0-13956	PD00353	[dtpB 3,640,862 &rarr; 3,642,331]	EG12232	+
TU00406		[htgA 10,643 &rarr; 11,315]	EG11509	+
TU0-14393		[dgt 179,214 &rarr; 180,754]	EG10225	+
TU0-3426	CPLX0-7748	[sbmA-yaiW 396,553 &rarr; 398,966]	G6227 // EG10928	+
TU0-4545		[galETKM 787,689 &larr; 792,177]	EG11698 // EG10363 // EG10366 // EG10362	-
TU0-13062	G6638-MONOMER	[ybiYW 860,174 &larr; 863,511]	G6427 // G6426	-
TU0-8487	G7072-MONOMER	[pdxK 2,536,386 &larr; 2,537,319]	G7259	-
TU00008	PD04132 // MONOMER0-162 // G7072-MONOMER	[aroF-tyrA 2,738,912 &larr; 2,741,201]	EG11039 // EG10078	-
TU0-13462		[yedI 2,028,449 &larr; 2,029,366]	EG12709	-
TU0-13937		[yhhX 3,579,768 &larr; 3,580,805]	G7757	-
TU00390	MONOMER0-4276 // EG11356-MONOMER // CPLX0-7748 // PD01379 // CPLX0-3930	[csgBAC 1,103,821 &rarr; 1,105,293]	G6548 // G6547 // EG11489	+
TU0-14371		[trpt 3,946,957 &rarr; 3,947,032]	EG30105	+
TU0-3163	PC00061 // G7072-MONOMER // CPLX0-7797 // PHOSPHO-ARCA	[cydAB 771,368 &rarr; 774,181]	EG10174 // EG10173	+
TU0-45274	CPLX0-226 // PC00061	[epd-pgk 3,071,431 &larr; 3,073,823]	EG10703 // EG10368	-
TU0-13045		[ybhC 805,998 &larr; 807,321]	EG12875	-
TU0-45218	CPLX0-7748 // PHOSPHO-HYDG	[rpoH 3,599,887 &larr; 3,601,003]	EG10897	-
TU0-8469	PC00061	[fbaB 2,177,512 &larr; 2,178,667]	G7129	-
TU0-901	PD00353	[lpxL 1,115,662 &larr; 1,116,709]	EG10464	-
TU0-13443		[yecN-cmoAB 1,952,266 &rarr; 1,954,413]	G7021 // G7020 // G7019	+
TU0-13920		[prkB 3,484,311 &rarr; 3,485,359]	EG12365	+
TU00373	G7072-MONOMER	[xseB-ispA-dxs-yajO 437,161 &larr; 441,373]	G6236 // G6237 // EG10508 // EG11098	-
TU0-14351		[ydhM 1,726,023 &rarr; 1,726,622]	G6889	+
TU0-2707	CPLX0-7639	[metJ 4,128,078 &larr; 4,128,529]	EG10588	-
TU0-45258	PC00027 // CPLX0-7705 // PROTEIN-NRIP // PD00353	[patA 3,219,202 &rarr; 3,220,873]	G7596	+
TU0-13029		[ybfL 736,900 &rarr; 737,961]	G6377	+
TU0-45203	PC00061	[tpiA 4,110,740 &larr; 4,111,569]	EG11015	-
TU0-8360		[treF 3,669,551 &rarr; 3,671,241]	EG12245	+
TU0-8847	G7072-MONOMER	[ligB 3,819,488 &larr; 3,821,170]	EG11334	-
TU0-13427		[letAB 1,916,258 &rarr; 1,920,143]	G7007 // G7006	+
TU0-13902		[tldD 3,390,583 &larr; 3,392,028]	G7689	-
TU00357	CPLX0-226 // PD00353	[serC-aroA 957,461 &rarr; 960,095]	EG10946 // EG10073	+
TU0-14330		[tpke11 14,080 &rarr; 14,167]	G0-8893	+
TU0-2447	PHOSPHO-PHOP	[mgrB 1,908,623 &larr; 1,908,792]	G7002	-
TU0-45243	PD00230	[alkA 2,146,692 &larr; 2,147,559]	EG11222	-
TU0-13011	G7072-MONOMER	[ybeR-djlB 676,711 &rarr; 678,842]	G6353 // G6352	+
TU0-45187		[dnaN-recF 3,880,148 &larr; 3,882,733]	EG10828 // EG10242	-
TU0-8340	PD01379	[fliE 2,012,700 &larr; 2,013,093]	EG11346	-
TU0-8831		[insH-1 274,101 &larr; 275,081]	G6134	-
TU0-13411		[yeaVW 1,883,188 &rarr; 1,885,789]	G6988 // G6987	+
TU0-13886	CPLX0-7916	[sfsB 3,334,858 &rarr; 3,335,187]	EG10656	+
TU00338	EG12008-MONOMER // G7072-MONOMER	[rplU-rpmA 3,332,862 &larr; 3,333,516]	EG50002 // EG50001	-
TU0-14312		[ftsB 2,872,509 &larr; 2,872,820]	G7424	-
TU0-2041	PC00027 // CPLX0-226	[hpt 141,294 &rarr; 141,967]	EG20098	+
TU0-12995	PD00214 // G7072-MONOMER	[TU0-12995 637,827 &larr; 638,800]	G6333	-
TU0-45171	PD00967 // PHOSPHO-NARP // PHOSPHO-NARL // CPLX0-7705 // G7326-MONOMER // PHOSPHO-ARCA // G6789-MONOMER	[hyaABCDEF 1,031,917 &rarr; 1,037,634]	EG10468 // EG10469 // EG10470 // EG10471 // EG10472 // EG10473	+
TU0-8321		[dut-slmA 3,813,852 &rarr; 3,815,090]	EG11191 // EG10251	+
TU0-8815	PHOSPHO-ARCA	[nudE 3,525,589 &larr; 3,526,149]	G7740	-
TU0-13393		[ydjF 1,854,096 &larr; 1,854,854]	G6957	-
TU0-13869	G6247-MONOMER	[cyuPA 3,255,341 &larr; 3,258,010]	EG12754 // G7622	-
TU00321		[potABCD 1,181,783 &larr; 1,185,594]	EG10752 // EG10751 // EG10750 // EG10749	-
TU0-14293		[alsK 4,306,870 &larr; 4,307,799]	EG11956	-
TU0-1783	CPLX0-7796 // CPLX0-226 // PD00353	[metK 3,086,516 &rarr; 3,087,860]	EG10589	+
TU0-12976		[ybcQ 573,956 &rarr; 574,339]	G6307	+
TU0-45146	PD00519 // EG12105-MONOMER // G7072-MONOMER // EG12386-MONOMER	[gltF 3,361,176 &rarr; 3,361,940]	EG11514	+
TU0-8224	CPLX0-7796 // CPLX0-7752 // G7072-MONOMER	[metR 4,011,863 &larr; 4,012,837]	EG10591	-
TU0-13376		[ydiE 1,789,613 &rarr; 1,789,804]	EG12391	+
TU0-8802		[ggt 3,585,081 &larr; 3,586,823]	EG10374	-
TU0-13852		[ygjJK 3,227,801 &rarr; 3,231,239]	G7599 // G7598	+
TU00303	CPLX0-7748 // G7072-MONOMER	[motRAB-cheAW 1,972,771 &larr; 1,977,302]	G0-17103 // EG10149 // EG10146 // EG10602 // EG10601	-
TU0-14263	CPLX0-7733 // G7072-MONOMER	[asnC-mioC-mnmG 3,923,705 &larr; 3,927,031]	EG10375 // EG11199 // EG10093	-
TU0-1547	CPLX0-7797 // EG12386-MONOMER	[tar-tap-cheRBYZ 1,966,393 &larr; 1,972,716]	EG10151 // EG10150 // EG10147 // EG10148 // EG10987 // EG10988	-
TU0-12959		[ybbAP 519,733 &rarr; 522,830]	G6270 // EG11657	+
TU0-44224		[trxA 3,965,650 &rarr; 3,966,136]	EG11031	+
TU0-8121		[talB 8,191 &rarr; 9,226]	EG11556	+
TU0-13360	EG12140-MONOMER	[ydhC 1,739,911 &rarr; 1,741,122]	EG12141	+
TU0-8780		[cspH 1,050,963 &larr; 1,051,175]	G6510	-
TU0-13834	PD00353 // EG12386-MONOMER	[ygiW 3,169,284 &larr; 3,169,676]	G7574	-
TU00284	EG10442-MONOMER // CPLX0-7425 // PC00027	[hipBA 1,590,854 &larr; 1,592,482]	EG10443 // EG10442	-
TU0-14241		[yncL 1,517,099 &larr; 1,517,194]	G0-8887	-
TU862		[rihB 2,254,245 &larr; 2,255,252]	EG12030	-
TU0-14813		[pfkA 4,107,522 &rarr; 4,108,732]	EG10699	+
TU0-12939		[ybaA 476,672 &rarr; 477,025]	EG11099	+
TU0-44208		[nanY 4,505,266 &rarr; 4,506,405]	G7901	+
TU0-7842		[rpsT 20,771 &larr; 21,210]	EG10919	-
TU0-7821	CPLX0-8563 // PHOSPHO-PHOP // PD00288	[pagP 656,494 &rarr; 657,117]	EG12180	+
TU0-13340		[ynfL 1,668,699 &larr; 1,669,592]	G6853	-
TU0-8757	CPLX0-8048 // EG12386-MONOMER	[ttdR 3,205,324 &larr; 3,206,380]	EG12694	-
TU0-13815	CPLX0-8109	[yghJ 3,114,550 &larr; 3,119,112]	G7541	-
TU00264	PD00353 // G7072-MONOMER	[envY-ompT 584,680 &larr; 586,908]	EG10673 // EG10268	-
TU0-1422	PHOSPHO-RCSB // CPLX0-228	[ftsAZ 103,517 &rarr; 106,456]	EG10347 // EG10339	+
TU782	PHOSPHO-HYDG	[zraP 4,201,263 &larr; 4,201,712]	EG11918	-
TU0-14783		[nikABCDER 3,613,439 &rarr; 3,618,989]	EG12079 // EG11519 // EG12078 // EG12077 // EG12076 // EG12075	+
TU0-12916	CPLX0-7916	[ykiA 408,574 &rarr; 408,950]	G6231	+
TU0-4401	G7072-MONOMER	[yaiS 384,059 &larr; 384,616]	G6216	-
TU0-7681	CPLX0-7639 // G7072-MONOMER	[nohA-stfQ-tfaQ 1,634,310 &larr; 1,636,603]	G6820 // G6821 // EG11634	-
TU0-13323		[rem 1,644,651 &larr; 1,644,902]	EG11129	-
TU0-8740		[yfiC 2,712,027 &larr; 2,712,764]	EG11538	-
TU0-13796		[yqfE 3,059,381 &larr; 3,059,611]	G7515	-
TU00248	CPLX0-8595 // PD00266 // CPLX0-226 // CPLX0-8258 // PD00353	[chbBCARFG 1,816,386 &larr; 1,821,726]	EG12198 // EG10144 // EG10143 // EG10142 // EG10141 // EG10140	-
TU0-14203	CPLX0-8563	[mdtM-yjiN 4,565,966 &larr; 4,568,519]	EG12576 // G7933	-
TU661	MONOMER0-160 // PD00353 // G7072-MONOMER	[polA 4,046,839 &rarr; 4,049,752]	EG10746	+
TU0-14749	PHOSPHO-DPIA // G7072-MONOMER	[exuT 3,245,043 &rarr; 3,246,522]	EG12738	+
TU0-12895		[yahK 342,884 &rarr; 343,933]	G6190	+
TU0-42686		[yihUTS 4,070,515 &larr; 4,073,596]	EG11845 // EG11846 // EG11847	-
TU0-7342	PHOSPHO-PHOB	[tktB 2,579,308 &rarr; 2,581,639]	EG12100	+
TU0-13305		[yneJ 1,614,804 &rarr; 1,615,685]	G6812	+
TU0-8724		[yegI 2,149,039 &larr; 2,150,985]	G7109	-
TU0-13779		[yqeC 3,014,287 &larr; 3,015,057]	G7495	-
TU00232	PD01520	[accD 2,432,963 &larr; 2,434,015]	EG10217	-
TU0-14185		[insN-2 4,507,167 &rarr; 4,509,793]	G7904	+
TU565		[rpsA-ihfB 961,859 &rarr; 964,173]	EG10441 // EG10900	+
TU0-14715	CPLX0-7745 // CPLX0-226	[murQP 2,545,741 &rarr; 2,548,097]	G7264 // G7263	+
TU0-1194		[dnaN-recF 3,880,148 &larr; 3,882,590]	EG10828 // EG10242	-
TU0-12879	G6165-MONOMER	[ecpA 310,084 &larr; 310,797]	G6164	-
TU0-42636	PC00027 // PD00353	[rpoE-rseABC 2,707,322 &larr; 2,710,393]	G0-16690 // G7347 // G7348 // EG12341 // EG11897	-
TU0-7141	PHOSPHO-RCSB	[bdm-sra 1,555,826 &larr; 1,556,340]	EG11508 // G6776	-
TU0-13288		[digH 1,567,504 &larr; 1,568,823]	G6785	-
TU0-8707	PHOSPHO-ARCA	[ydgC 1,681,695 &larr; 1,682,030]	G6863	-
TU0-13762	G7072-MONOMER	[ygeG 2,991,268 &rarr; 2,991,759]	G7471	+
TU00215	PD04418 // CPLX0-7705 // PD01520 // PHOSPHO-ARCA	[fadBA 4,027,609 &larr; 4,031,013]	EG10278 // EG10279	-
TU0-14167		[tldE 4,457,945 &rarr; 4,459,311]	EG10741	+
TU502	G7072-MONOMER	[cfa 1,741,201 &rarr; 1,742,561]	EG11531	+
TU0-14683	PHOSPHO-CREB	[creD 4,638,160 &rarr; 4,639,572]	EG10145	+
TU0-1141	PD00406 // PD01896 // PHOSPHO-ARCA // CPLX0-226 // CPLX0-7705	[ptsG 1,157,621 &rarr; 1,159,302]	EG10787	+
TU0-12863		[ykfC 272,847 &rarr; 273,992]	G6133	+
TU0-42596	CPLX0-7797	[yibN-grxC-secB-gpsA 3,782,642 &larr; 3,785,195]	EG12294 // EG12295 // EG20091 // EG10937	-
TU0-6886		[argE 4,153,696 &larr; 4,155,078]	EG11286	-
TU0-13270	G7072-MONOMER	[ydcY 1,517,648 &rarr; 1,517,881]	G6757	+
TU0-8690		[ychN 1,273,246 &larr; 1,273,599]	EG12404	-
TU0-13744	PC00010 // G7072-MONOMER	[ptrA-recBD 2,950,635 &larr; 2,959,011]	EG10786 // EG10824 // EG10826	-
TU00199	CPLX0-7756 // CPLX0-7705 // CPLX0-7797 // CPLX0-3930 // PHOSPHO-NARL // PHOSPHO-NARP // PC00027 // G7072-MONOMER	[nrfABCDEFG 4,287,544 &rarr; 4,294,139]	EG11781 // EG11945 // EG11946 // EG11947 // EG11948 // EG11949 // EG11950	+
